email,continent,country,sleep_hours,employment_status,study_hours,webinar_attendance_duration,score
student440@alx.edu,Africa,Zimbabwe,3,Unemployed,8,16,72
student441@alx.edu,Africa,Ethiopia,9,Unemployed,8,18,56
student442@alx.edu,Africa,Nigeria,10,Unemployed,40,77,100
student443@alx.edu,Africa,South Africa,9,Unemployed,18,35,80
student444@alx.edu,Africa,Kenya,1,Employed,18,33,100
student445@alx.edu,Africa,Rwanda,9,Unemployed,33,67,100
student446@alx.edu,Africa,Morocco,4,Employed,38,74,100
student447@alx.edu,Africa,Egypt,0,Unemployed,40,81,100
student448@alx.edu,Africa,Ghana,4,Unemployed,31,57,100
student449@alx.edu,Africa,Zimbabwe,0,Employed,18,35,100
student450@alx.edu,Africa,Ethiopia,5,Employed,8,17,70
student451@alx.edu,Africa,Nigeria,3,Employed,32,65,100
student452@alx.edu,Africa,South Africa,5,Unemployed,25,57,100
student453@alx.edu,Africa,Kenya,6,Unemployed,20,41,100
student454@alx.edu,Africa,Rwanda,9,Employed,37,70,100
student455@alx.edu,Africa,Morocco,7,Employed,9,17,62
student456@alx.edu,Africa,Egypt,4,Unemployed,22,39,100
student457@alx.edu,Africa,Ghana,8,Employed,5,11,56
student458@alx.edu,Africa,Zimbabwe,9,Employed,21,40,98
student459@alx.edu,Africa,Ethiopia,1,Unemployed,7,17,63
student460@alx.edu,Africa,Nigeria,5,Employed,9,17,65
student461@alx.edu,Africa,South Africa,3,Unemployed,9,18,70
student462@alx.edu,Africa,Kenya,0,Unemployed,28,54,100
student463@alx.edu,Africa,Rwanda,7,Unemployed,31,67,100
student464@alx.edu,Africa,Morocco,9,Employed,25,50,100
student465@alx.edu,Africa,Egypt,2,Employed,39,83,100
student466@alx.edu,Africa,Ghana,8,Employed,18,39,97
student467@alx.edu,Africa,Zimbabwe,9,Employed,15,31,78
student468@alx.edu,Africa,Ethiopia,9,Unemployed,35,72,100
student469@alx.edu,Africa,Nigeria,3,Unemployed,13,27,85
student470@alx.edu,Africa,South Africa,9,Employed,39,72,100
student471@alx.edu,Africa,Kenya,3,Employed,5,10,52
student472@alx.edu,Africa,Rwanda,6,Employed,39,80,100
student473@alx.edu,Africa,Morocco,1,Employed,7,13,62
student474@alx.edu,Africa,Egypt,0,Unemployed,36,68,100
student475@alx.edu,Africa,Ghana,7,Employed,23,47,100
student476@alx.edu,Africa,Zimbabwe,4,Unemployed,40,85,100
student477@alx.edu,Africa,Ethiopia,3,Employed,8,19,73
student478@alx.edu,Africa,Nigeria,2,Employed,24,49,100
student479@alx.edu,Africa,South Africa,7,Employed,39,81,100
student480@alx.edu,Africa,Kenya,0,Unemployed,23,46,100
student481@alx.edu,Africa,Rwanda,8,Employed,27,49,100
student482@alx.edu,Africa,Morocco,1,Unemployed,29,56,100
student483@alx.edu,Africa,Egypt,2,Unemployed,21,47,100
student484@alx.edu,Africa,Ghana,4,Employed,27,53,100
student485@alx.edu,Africa,Zimbabwe,5,Unemployed,25,50,100
student486@alx.edu,Africa,Ethiopia,4,Unemployed,37,72,100
student487@alx.edu,Africa,Nigeria,3,Unemployed,7,19,65
student488@alx.edu,Africa,South Africa,10,Employed,15,35,83
student489@alx.edu,Africa,Kenya,6,Unemployed,38,83,100
student490@alx.edu,Africa,Rwanda,0,Unemployed,36,72,100
student491@alx.edu,Africa,Morocco,4,Employed,21,43,96
student492@alx.edu,Africa,Egypt,9,Employed,27,49,100
student493@alx.edu,Africa,Ghana,3,Unemployed,15,34,95
student494@alx.edu,Africa,Zimbabwe,1,Unemployed,12,20,91
student495@alx.edu,Africa,Ethiopia,8,Unemployed,21,43,97
student496@alx.edu,Africa,Nigeria,6,Unemployed,17,31,89
student497@alx.edu,Africa,South Africa,6,Employed,25,49,100
student498@alx.edu,Africa,Kenya,1,Employed,8,13,75
student499@alx.edu,Africa,Rwanda,1,Unemployed,39,76,100
student500@alx.edu,Africa,Morocco,6,Employed,40,77,100
student501@alx.edu,Africa,Egypt,2,Unemployed,29,57,100
student502@alx.edu,Africa,Ghana,5,Employed,24,50,100
student503@alx.edu,Africa,Zimbabwe,5,Employed,16,28,79
student504@alx.edu,Africa,Ethiopia,3,Unemployed,33,68,100
student505@alx.edu,Africa,Nigeria,9,Unemployed,29,62,100
student506@alx.edu,Africa,South Africa,8,Unemployed,11,20,71
student507@alx.edu,Africa,Kenya,7,Unemployed,37,72,100
student508@alx.edu,Africa,Rwanda,1,Employed,34,67,100
student509@alx.edu,Africa,Morocco,1,Employed,38,80,100
student510@alx.edu,Africa,Egypt,5,Unemployed,30,61,100
student511@alx.edu,Africa,Ghana,2,Employed,26,51,100
student512@alx.edu,Africa,Zimbabwe,10,Employed,20,41,93
student513@alx.edu,Africa,Ethiopia,2,Unemployed,38,72,100
student514@alx.edu,Africa,Nigeria,5,Unemployed,35,73,100
student515@alx.edu,Africa,South Africa,4,Employed,7,14,57
student516@alx.edu,Africa,Kenya,6,Unemployed,6,11,55
student517@alx.edu,Africa,Rwanda,1,Unemployed,18,34,91
student518@alx.edu,Africa,Morocco,4,Employed,33,64,100
student519@alx.edu,Africa,Egypt,3,Employed,40,81,100
student520@alx.edu,Africa,Ghana,9,Unemployed,10,24,65
student521@alx.edu,Africa,Zimbabwe,0,Employed,26,50,100
student522@alx.edu,Africa,Ethiopia,9,Unemployed,18,38,89
student523@alx.edu,Africa,Nigeria,8,Unemployed,39,72,100
student524@alx.edu,Africa,South Africa,3,Employed,34,67,100
student525@alx.edu,Africa,Kenya,8,Employed,34,69,100
student526@alx.edu,Africa,Rwanda,0,Unemployed,21,40,100
student527@alx.edu,Africa,Morocco,10,Unemployed,20,36,97
student528@alx.edu,Africa,Egypt,5,Unemployed,15,27,84
student529@alx.edu,Africa,Ghana,3,Employed,7,15,55
student530@alx.edu,Africa,Zimbabwe,4,Unemployed,35,70,100
student531@alx.edu,Africa,Ethiopia,1,Employed,33,60,100
student532@alx.edu,Africa,Nigeria,10,Unemployed,40,74,100
student533@alx.edu,Africa,South Africa,0,Employed,40,78,100
student534@alx.edu,Africa,Kenya,7,Unemployed,24,50,100
student535@alx.edu,Africa,Rwanda,4,Employed,32,56,100
student536@alx.edu,Africa,Morocco,9,Unemployed,38,75,100
student537@alx.edu,Africa,Egypt,2,Unemployed,35,68,100
student538@alx.edu,Africa,Ghana,5,Unemployed,14,31,89
student539@alx.edu,Africa,Zimbabwe,5,Unemployed,21,40,100
student540@alx.edu,Africa,Ethiopia,7,Employed,10,20,68
student541@alx.edu,Africa,Nigeria,1,Employed,38,77,100
student542@alx.edu,Africa,South Africa,2,Employed,26,46,100
student543@alx.edu,Africa,Kenya,2,Employed,13,28,88
student544@alx.edu,Africa,Rwanda,7,Employed,29,58,100
student545@alx.edu,Africa,Morocco,2,Unemployed,27,55,100
student546@alx.edu,Africa,Egypt,6,Employed,18,47,97
student547@alx.edu,Africa,Ghana,2,Employed,9,12,73
student548@alx.edu,Africa,Zimbabwe,9,Employed,29,62,100
student549@alx.edu,Africa,Ethiopia,9,Employed,23,46,100
student550@alx.edu,Africa,Nigeria,5,Unemployed,32,65,100
student551@alx.edu,Africa,South Africa,4,Unemployed,23,46,100
student552@alx.edu,Africa,Kenya,2,Unemployed,35,68,100
student553@alx.edu,Africa,Rwanda,0,Unemployed,24,47,100
student554@alx.edu,Africa,Morocco,3,Employed,25,50,100
student555@alx.edu,Africa,Egypt,7,Employed,36,67,100
student556@alx.edu,Africa,Ghana,5,Unemployed,19,40,91
student557@alx.edu,Africa,Zimbabwe,9,Unemployed,10,18,61
student558@alx.edu,Africa,Ethiopia,4,Employed,6,9,57
student559@alx.edu,Africa,Nigeria,7,Employed,31,62,100
student560@alx.edu,Africa,South Africa,5,Unemployed,27,57,100
student561@alx.edu,Africa,Kenya,5,Unemployed,30,58,100
student562@alx.edu,Africa,Rwanda,3,Unemployed,12,26,81
student563@alx.edu,Africa,Morocco,5,Unemployed,10,17,61
student564@alx.edu,Africa,Egypt,5,Employed,6,13,58
student565@alx.edu,Africa,Ghana,7,Employed,17,37,91
student566@alx.edu,Africa,Zimbabwe,9,Employed,26,57,100
student567@alx.edu,Africa,Ethiopia,3,Unemployed,19,37,100
student568@alx.edu,Africa,Nigeria,0,Employed,20,43,100
student569@alx.edu,Africa,South Africa,5,Employed,37,74,100
student570@alx.edu,Africa,Kenya,5,Unemployed,17,38,93
student571@alx.edu,Africa,Rwanda,2,Unemployed,23,44,100
student572@alx.edu,Africa,Morocco,8,Unemployed,32,67,100
student573@alx.edu,Africa,Egypt,10,Unemployed,19,37,84
student574@alx.edu,Africa,Ghana,9,Unemployed,27,53,100
student575@alx.edu,Africa,Zimbabwe,2,Unemployed,35,71,100
student576@alx.edu,Africa,Ethiopia,9,Employed,38,77,100
student577@alx.edu,Africa,Nigeria,7,Employed,10,20,64
student578@alx.edu,Africa,South Africa,5,Employed,37,76,100
student579@alx.edu,Africa,Kenya,5,Employed,22,49,100
student580@alx.edu,Africa,Rwanda,8,Employed,14,31,78
student581@alx.edu,Africa,Morocco,5,Employed,21,45,100
student582@alx.edu,Africa,Egypt,4,Unemployed,39,77,100
student583@alx.edu,Africa,Ghana,5,Unemployed,22,42,100
student584@alx.edu,Africa,Zimbabwe,6,Unemployed,17,36,86
student585@alx.edu,Africa,Ethiopia,2,Employed,27,57,100
student586@alx.edu,Africa,Nigeria,9,Employed,13,31,80
student587@alx.edu,Africa,South Africa,7,Unemployed,8,13,62
student588@alx.edu,Africa,Kenya,6,Unemployed,10,18,77
student589@alx.edu,Africa,Rwanda,1,Unemployed,9,14,73
student590@alx.edu,Africa,Morocco,6,Unemployed,10,19,78
student591@alx.edu,Africa,Egypt,1,Unemployed,10,23,80
student592@alx.edu,Africa,Ghana,1,Employed,27,53,100
student593@alx.edu,Africa,Zimbabwe,5,Employed,11,25,83
student594@alx.edu,Africa,Ethiopia,4,Employed,17,34,97
student595@alx.edu,Africa,Nigeria,6,Unemployed,36,74,100
student596@alx.edu,Africa,South Africa,1,Employed,22,40,100
student597@alx.edu,Africa,Kenya,4,Unemployed,28,57,100
student598@alx.edu,Africa,Rwanda,2,Employed,11,13,77
student599@alx.edu,Africa,Morocco,10,Unemployed,12,23,58
student600@alx.edu,Africa,Egypt,6,Unemployed,6,8,53
student601@alx.edu,Africa,Ghana,7,Employed,11,25,76
student602@alx.edu,Africa,Zimbabwe,3,Employed,15,32,86
student603@alx.edu,Africa,Ethiopia,1,Employed,11,24,81
student604@alx.edu,Africa,Nigeria,10,Employed,8,21,52
student605@alx.edu,Africa,South Africa,3,Employed,9,16,78
student606@alx.edu,Africa,Kenya,4,Unemployed,21,47,100
student607@alx.edu,Africa,Rwanda,6,Employed,12,27,74
student608@alx.edu,Africa,Morocco,0,Employed,18,35,97
student609@alx.edu,Africa,Egypt,8,Unemployed,23,49,100
student610@alx.edu,Africa,Ghana,5,Employed,29,55,100
student611@alx.edu,Africa,Zimbabwe,3,Unemployed,6,10,68
student612@alx.edu,Africa,Ethiopia,1,Employed,33,64,100
student613@alx.edu,Africa,Nigeria,2,Employed,27,52,100
student614@alx.edu,Africa,South Africa,9,Unemployed,8,13,54
student615@alx.edu,Africa,Kenya,7,Employed,36,75,100
student616@alx.edu,Africa,Rwanda,2,Employed,37,74,100
student617@alx.edu,Africa,Morocco,1,Employed,7,15,69
student618@alx.edu,Africa,Egypt,7,Employed,15,28,79
student619@alx.edu,Africa,Ghana,6,Unemployed,33,61,100
student620@alx.edu,Africa,Zimbabwe,4,Unemployed,31,63,100
student621@alx.edu,Africa,Ethiopia,4,Employed,11,17,65
student622@alx.edu,Africa,Nigeria,2,Employed,12,24,78
student623@alx.edu,Africa,South Africa,7,Unemployed,18,32,96
student624@alx.edu,Africa,Kenya,10,Unemployed,22,50,100
student625@alx.edu,Africa,Rwanda,2,Employed,27,56,100
student626@alx.edu,Africa,Morocco,6,Unemployed,18,36,100
student627@alx.edu,Africa,Egypt,4,Unemployed,21,46,100
student628@alx.edu,Africa,Ghana,4,Unemployed,31,60,100
student629@alx.edu,Africa,Zimbabwe,3,Unemployed,6,14,67
student630@alx.edu,Africa,Ethiopia,8,Employed,14,28,74
student631@alx.edu,Africa,Nigeria,5,Unemployed,30,61,100
student632@alx.edu,Africa,South Africa,5,Employed,36,76,100
student633@alx.edu,Africa,Kenya,3,Employed,23,48,100
student634@alx.edu,Africa,Rwanda,2,Unemployed,24,48,100
student635@alx.edu,Africa,Morocco,1,Employed,9,13,73
student636@alx.edu,Africa,Egypt,7,Employed,21,38,100
student637@alx.edu,Africa,Ghana,2,Unemployed,24,47,100
student638@alx.edu,Africa,Zimbabwe,7,Unemployed,13,27,70
student639@alx.edu,Africa,Ethiopia,4,Unemployed,14,25,88
student640@alx.edu,Africa,Nigeria,4,Employed,18,44,99
student641@alx.edu,Africa,South Africa,5,Employed,6,16,62
student642@alx.edu,Africa,Kenya,4,Employed,16,34,90
student643@alx.edu,Africa,Rwanda,1,Employed,12,25,81
student644@alx.edu,Africa,Morocco,3,Unemployed,16,32,100
student645@alx.edu,Africa,Egypt,7,Employed,9,16,56
student646@alx.edu,Africa,Ghana,7,Unemployed,36,73,100
student647@alx.edu,Africa,Zimbabwe,3,Unemployed,26,52,100
student648@alx.edu,Africa,Ethiopia,5,Unemployed,29,54,100
student649@alx.edu,Africa,Nigeria,2,Unemployed,33,66,100
student650@alx.edu,Africa,South Africa,2,Employed,22,44,100
student651@alx.edu,Africa,Kenya,0,Unemployed,8,10,74
student652@alx.edu,Africa,Rwanda,9,Employed,24,45,100
student653@alx.edu,Africa,Morocco,2,Unemployed,26,50,100
student654@alx.edu,Africa,Egypt,2,Unemployed,31,68,100
student655@alx.edu,Africa,Ghana,3,Unemployed,20,42,100
student656@alx.edu,Africa,Zimbabwe,1,Employed,9,15,74
student657@alx.edu,Africa,Ethiopia,6,Unemployed,15,31,97
student658@alx.edu,Africa,Nigeria,1,Unemployed,18,31,98
student659@alx.edu,Africa,South Africa,1,Unemployed,28,58,100
student660@alx.edu,Africa,Kenya,6,Unemployed,25,49,100
student661@alx.edu,Africa,Rwanda,3,Employed,17,35,92
student662@alx.edu,Africa,Morocco,7,Employed,40,83,100
student663@alx.edu,Africa,Egypt,6,Unemployed,26,49,100
student664@alx.edu,Africa,Ghana,3,Unemployed,13,22,80
student665@alx.edu,Africa,Zimbabwe,7,Employed,9,15,54
student666@alx.edu,Africa,Ethiopia,1,Employed,10,24,82
student667@alx.edu,Africa,Nigeria,5,Employed,14,23,72
student668@alx.edu,Africa,South Africa,4,Unemployed,11,13,69
student669@alx.edu,Africa,Kenya,3,Employed,12,22,84
student670@alx.edu,Africa,Rwanda,6,Unemployed,15,32,80
student671@alx.edu,Africa,Morocco,9,Employed,11,26,61
student672@alx.edu,Africa,Egypt,10,Employed,36,71,100
student673@alx.edu,Africa,Ghana,6,Unemployed,8,14,69
student674@alx.edu,Africa,Zimbabwe,4,Employed,23,50,100
student675@alx.edu,Africa,Ethiopia,2,Unemployed,19,33,100
student676@alx.edu,Africa,Nigeria,3,Employed,39,78,100
student677@alx.edu,Africa,South Africa,5,Unemployed,9,18,60
student678@alx.edu,Africa,Kenya,4,Employed,19,39,100
student679@alx.edu,Africa,Rwanda,9,Employed,39,76,100
student680@alx.edu,Africa,Morocco,4,Unemployed,35,71,100
student681@alx.edu,Africa,Egypt,4,Unemployed,34,60,100
student682@alx.edu,Africa,Ghana,4,Unemployed,14,26,91
student683@alx.edu,Africa,Zimbabwe,8,Unemployed,11,23,72
student684@alx.edu,Africa,Ethiopia,7,Employed,28,54,100
student685@alx.edu,Africa,Nigeria,6,Employed,38,75,100
student686@alx.edu,Africa,South Africa,3,Employed,24,50,100
student687@alx.edu,Africa,Kenya,8,Employed,25,49,100
student688@alx.edu,Africa,Rwanda,0,Employed,15,30,89
student689@alx.edu,Africa,Morocco,9,Employed,32,61,100
student690@alx.edu,Africa,Egypt,5,Unemployed,12,22,83
student691@alx.edu,Africa,Ghana,4,Employed,16,34,92
student692@alx.edu,Africa,Zimbabwe,5,Employed,20,40,98
student693@alx.edu,Africa,Ethiopia,7,Unemployed,23,44,100
student694@alx.edu,Africa,Nigeria,0,Employed,13,28,95
student695@alx.edu,Africa,South Africa,9,Employed,9,20,48
student696@alx.edu,Africa,Kenya,4,Employed,26,47,100
student697@alx.edu,Africa,Rwanda,3,Unemployed,15,34,85
student698@alx.edu,Africa,Morocco,1,Unemployed,25,50,100
student699@alx.edu,Africa,Egypt,4,Employed,10,22,73
student700@alx.edu,Africa,Ghana,5,Unemployed,22,47,100
student701@alx.edu,Africa,Zimbabwe,4,Employed,24,43,100
student702@alx.edu,Africa,Ethiopia,7,Employed,7,11,47
student703@alx.edu,Africa,Nigeria,4,Employed,17,33,88
student704@alx.edu,Africa,South Africa,10,Unemployed,10,17,66
student705@alx.edu,Africa,Kenya,6,Employed,7,20,67
student706@alx.edu,Africa,Rwanda,8,Employed,40,77,100
student707@alx.edu,Africa,Morocco,1,Employed,16,31,99
student708@alx.edu,Africa,Egypt,4,Employed,33,67,100
student709@alx.edu,Africa,Ghana,3,Employed,14,24,84
student710@alx.edu,Africa,Zimbabwe,6,Unemployed,29,57,100
student711@alx.edu,Africa,Ethiopia,9,Employed,32,64,100
student712@alx.edu,Africa,Nigeria,1,Unemployed,26,51,100
student713@alx.edu,Africa,South Africa,1,Employed,22,43,100
student714@alx.edu,Africa,Kenya,9,Unemployed,19,37,91
student715@alx.edu,Africa,Rwanda,2,Employed,17,30,94
student716@alx.edu,Africa,Morocco,7,Employed,38,76,100
student717@alx.edu,Africa,Egypt,5,Unemployed,34,73,100
student718@alx.edu,Africa,Ghana,8,Unemployed,39,78,100
student719@alx.edu,Africa,Zimbabwe,1,Employed,9,19,84
student720@alx.edu,Africa,Ethiopia,1,Unemployed,31,63,100
student721@alx.edu,Africa,Nigeria,6,Unemployed,38,72,100
student722@alx.edu,Africa,South Africa,9,Employed,11,28,66
student723@alx.edu,Africa,Kenya,4,Employed,7,15,63
student724@alx.edu,Africa,Rwanda,3,Employed,31,67,100
student725@alx.edu,Africa,Morocco,6,Employed,25,48,100
student726@alx.edu,Africa,Egypt,9,Employed,34,74,100
student727@alx.edu,Africa,Ghana,8,Unemployed,10,22,65
student728@alx.edu,Africa,Zimbabwe,10,Employed,33,67,100
student729@alx.edu,Africa,Ethiopia,0,Unemployed,12,25,78
student730@alx.edu,Africa,Nigeria,1,Employed,11,21,79
student731@alx.edu,Africa,South Africa,6,Employed,11,25,73
student732@alx.edu,Africa,Kenya,8,Unemployed,34,67,100
student733@alx.edu,Africa,Rwanda,3,Employed,28,51,100
student734@alx.edu,Africa,Morocco,2,Unemployed,23,43,100
student735@alx.edu,Africa,Egypt,8,Unemployed,18,35,93
student736@alx.edu,Africa,Ghana,1,Unemployed,36,72,100
student737@alx.edu,Africa,Zimbabwe,4,Employed,19,37,99
student738@alx.edu,Africa,Ethiopia,5,Employed,34,71,100
student739@alx.edu,Africa,Nigeria,6,Employed,20,35,100
student740@alx.edu,Africa,South Africa,7,Employed,18,37,94
student741@alx.edu,Africa,Kenya,4,Employed,21,37,100
student742@alx.edu,Africa,Rwanda,6,Employed,16,33,93
student743@alx.edu,Africa,Morocco,6,Unemployed,31,62,100
student744@alx.edu,Africa,Egypt,5,Employed,23,46,100
student745@alx.edu,Africa,Ghana,6,Employed,13,24,79
student746@alx.edu,Africa,Zimbabwe,3,Employed,36,77,100
student747@alx.edu,Africa,Ethiopia,1,Employed,18,40,100
student748@alx.edu,Africa,Nigeria,1,Unemployed,24,50,100
student749@alx.edu,Africa,South Africa,2,Unemployed,37,73,100
student750@alx.edu,Africa,Kenya,5,Unemployed,27,55,100
student751@alx.edu,Africa,Rwanda,8,Unemployed,9,16,62
student752@alx.edu,Africa,Morocco,7,Unemployed,38,78,100
student753@alx.edu,Africa,Egypt,8,Employed,27,59,100
student754@alx.edu,Africa,Ghana,4,Unemployed,17,37,100
student755@alx.edu,Africa,Zimbabwe,4,Unemployed,10,18,72
student756@alx.edu,Africa,Ethiopia,4,Employed,33,67,100
student757@alx.edu,Africa,Nigeria,2,Employed,27,50,100
student758@alx.edu,Africa,South Africa,1,Unemployed,24,49,100
student759@alx.edu,Africa,Kenya,6,Employed,36,74,100
student760@alx.edu,Africa,Rwanda,10,Employed,33,60,100
student761@alx.edu,Africa,Morocco,2,Unemployed,10,17,72
student762@alx.edu,Africa,Egypt,0,Employed,16,31,86
student763@alx.edu,Africa,Ghana,8,Unemployed,14,26,82
student764@alx.edu,Africa,Zimbabwe,3,Unemployed,31,58,100
student765@alx.edu,Africa,Ethiopia,8,Employed,6,14,49
student766@alx.edu,Africa,Nigeria,7,Unemployed,25,51,100
student767@alx.edu,Africa,South Africa,9,Unemployed,32,63,100
student768@alx.edu,Africa,Kenya,4,Employed,36,69,100
student769@alx.edu,Africa,Rwanda,7,Employed,17,37,88
student770@alx.edu,Africa,Morocco,5,Employed,34,72,100
student771@alx.edu,Africa,Egypt,6,Employed,9,16,68
student772@alx.edu,Africa,Ghana,4,Unemployed,35,67,100
student773@alx.edu,Africa,Zimbabwe,2,Employed,9,20,69
student774@alx.edu,Africa,Ethiopia,5,Employed,19,37,100
student775@alx.edu,Africa,Nigeria,5,Unemployed,33,65,100
student776@alx.edu,Africa,South Africa,8,Unemployed,10,23,62
student777@alx.edu,Africa,Kenya,7,Unemployed,13,20,75
student778@alx.edu,Africa,Rwanda,7,Unemployed,30,65,100
student779@alx.edu,Africa,Morocco,1,Employed,30,61,100
student780@alx.edu,Africa,Egypt,7,Employed,27,54,100
student781@alx.edu,Africa,Ghana,5,Unemployed,29,58,100
student782@alx.edu,Africa,Zimbabwe,9,Unemployed,24,48,100
student783@alx.edu,Africa,Ethiopia,9,Unemployed,14,22,74
student784@alx.edu,Africa,Nigeria,1,Unemployed,17,39,99
student785@alx.edu,Africa,South Africa,8,Employed,11,23,69
student786@alx.edu,Africa,Kenya,0,Unemployed,37,75,100
student787@alx.edu,Africa,Rwanda,4,Employed,25,54,100
student788@alx.edu,Africa,Morocco,5,Unemployed,19,35,90
student789@alx.edu,Africa,Egypt,1,Employed,21,44,100
student790@alx.edu,Africa,Ghana,7,Employed,38,76,100
student791@alx.edu,Africa,Zimbabwe,0,Employed,10,23,82
student792@alx.edu,Africa,Ethiopia,2,Employed,26,45,100
student793@alx.edu,Africa,Nigeria,6,Unemployed,23,45,100
student794@alx.edu,Africa,South Africa,7,Employed,26,51,100
student795@alx.edu,Africa,Kenya,9,Unemployed,6,13,62
student796@alx.edu,Africa,Rwanda,7,Employed,36,72,100
student797@alx.edu,Africa,Morocco,7,Employed,38,73,100
student798@alx.edu,Africa,Egypt,4,Unemployed,25,47,100
student799@alx.edu,Africa,Ghana,0,Unemployed,29,58,100
student800@alx.edu,Africa,Zimbabwe,1,Employed,37,72,100
student801@alx.edu,Africa,Ethiopia,5,Employed,30,62,100
student802@alx.edu,Africa,Nigeria,7,Unemployed,10,20,69
student803@alx.edu,Africa,South Africa,4,Employed,25,42,100
student804@alx.edu,Africa,Kenya,7,Unemployed,26,51,100
student805@alx.edu,Africa,Rwanda,5,Unemployed,20,37,100
student806@alx.edu,Africa,Morocco,1,Unemployed,31,57,100
student807@alx.edu,Africa,Egypt,2,Employed,38,72,100
student808@alx.edu,Africa,Ghana,8,Employed,37,75,100
student809@alx.edu,Africa,Zimbabwe,7,Unemployed,21,46,100
student810@alx.edu,Africa,Ethiopia,9,Unemployed,9,19,65
student811@alx.edu,Africa,Nigeria,1,Unemployed,39,77,100
student812@alx.edu,Africa,South Africa,10,Unemployed,34,70,100
student813@alx.edu,Africa,Kenya,2,Employed,9,17,68
student814@alx.edu,Africa,Rwanda,0,Unemployed,37,72,100
student815@alx.edu,Africa,Morocco,10,Employed,35,67,100
student816@alx.edu,Africa,Egypt,3,Unemployed,23,41,100
student817@alx.edu,Africa,Ghana,7,Employed,26,50,100
student818@alx.edu,Africa,Zimbabwe,2,Employed,19,38,100
student819@alx.edu,Africa,Ethiopia,6,Employed,7,14,53
student820@alx.edu,Africa,Nigeria,9,Employed,17,32,89
student821@alx.edu,Africa,South Africa,3,Employed,33,63,100
student822@alx.edu,Africa,Kenya,7,Unemployed,5,12,50
student823@alx.edu,Africa,Rwanda,2,Unemployed,17,29,100
student824@alx.edu,Africa,Morocco,6,Employed,19,40,95
student825@alx.edu,Africa,Egypt,3,Unemployed,24,45,100
student826@alx.edu,Africa,Ghana,2,Unemployed,37,72,100
student827@alx.edu,Africa,Zimbabwe,3,Unemployed,17,30,99
student828@alx.edu,Africa,Ethiopia,2,Unemployed,17,33,100
student829@alx.edu,Africa,Nigeria,9,Unemployed,31,65,100
student830@alx.edu,Africa,South Africa,4,Unemployed,21,43,100
student831@alx.edu,Africa,Kenya,2,Unemployed,13,29,79
student832@alx.edu,Africa,Rwanda,4,Employed,21,43,100
student833@alx.edu,Africa,Morocco,3,Unemployed,10,17,76
student834@alx.edu,Africa,Egypt,7,Unemployed,11,21,75
student835@alx.edu,Africa,Ghana,10,Unemployed,22,43,100
student836@alx.edu,Africa,Zimbabwe,4,Employed,20,43,96
student837@alx.edu,Africa,Ethiopia,9,Employed,37,70,100
student838@alx.edu,Africa,Nigeria,6,Unemployed,18,38,100
student839@alx.edu,Africa,South Africa,2,Employed,25,53,100
student840@alx.edu,Africa,Kenya,7,Employed,27,60,100
student841@alx.edu,Africa,Rwanda,5,Unemployed,5,10,53
student842@alx.edu,Africa,Morocco,7,Employed,28,59,100
student843@alx.edu,Africa,Egypt,9,Unemployed,11,29,71
student844@alx.edu,Africa,Ghana,4,Employed,39,75,100
student845@alx.edu,Africa,Zimbabwe,9,Unemployed,10,16,69
student846@alx.edu,Africa,Ethiopia,8,Employed,20,33,89
student847@alx.edu,Africa,Nigeria,5,Unemployed,8,18,67
student848@alx.edu,Africa,South Africa,6,Unemployed,40,74,100
student849@alx.edu,Africa,Kenya,3,Employed,23,44,100
student850@alx.edu,Africa,Rwanda,10,Unemployed,26,53,100
student851@alx.edu,Africa,Morocco,7,Unemployed,7,15,63
student852@alx.edu,Africa,Egypt,0,Employed,31,64,100
student853@alx.edu,Africa,Ghana,3,Unemployed,12,25,83
student854@alx.edu,Africa,Zimbabwe,6,Unemployed,36,77,100
student855@alx.edu,Africa,Ethiopia,1,Employed,12,22,86
student856@alx.edu,Africa,Nigeria,0,Unemployed,12,21,84
student857@alx.edu,Africa,South Africa,5,Employed,6,10,61
student858@alx.edu,Africa,Kenya,3,Unemployed,22,46,100
student859@alx.edu,Africa,Rwanda,4,Employed,25,52,96
student860@alx.edu,Africa,Morocco,3,Employed,7,16,67
student861@alx.edu,Africa,Egypt,2,Unemployed,32,68,100
student862@alx.edu,Africa,Ghana,7,Employed,21,38,96
student863@alx.edu,Africa,Zimbabwe,5,Unemployed,23,52,100
student864@alx.edu,Africa,Ethiopia,2,Unemployed,20,45,100
student865@alx.edu,Africa,Nigeria,3,Employed,19,40,100
student866@alx.edu,Africa,South Africa,6,Unemployed,25,55,100
student867@alx.edu,Africa,Kenya,1,Unemployed,10,16,82
student868@alx.edu,Africa,Rwanda,1,Employed,11,21,80
student869@alx.edu,Africa,Morocco,1,Unemployed,35,68,100
student870@alx.edu,Africa,Egypt,8,Unemployed,38,78,100
student871@alx.edu,Africa,Ghana,8,Employed,18,33,83
student872@alx.edu,Africa,Zimbabwe,8,Unemployed,14,31,85
student873@alx.edu,Africa,Ethiopia,7,Unemployed,28,59,100
student874@alx.edu,Africa,Nigeria,7,Employed,19,41,97
student875@alx.edu,Africa,South Africa,5,Unemployed,6,13,62
student876@alx.edu,Africa,Kenya,6,Unemployed,10,18,79
student877@alx.edu,Africa,Rwanda,0,Employed,30,58,100
student878@alx.edu,Africa,Morocco,6,Unemployed,28,60,100
